Date,Price,Volatility,Volume
2012-01-03,55.453575134277344,0.7299995422363281,162300
2012-01-04,55.50704193115234,0.7099990844726562,92900
2012-01-05,55.91695785522461,0.8600006103515625,127100
2012-01-06,55.952598571777344,0.4900016784667969,122000
2012-01-09,55.952598571777344,0.4799995422363281,107000
2012-01-10,56.23775100708008,0.529998779296875,276800
2012-01-11,56.39814758300781,0.5600013732910156,117200
2012-01-12,56.68330383300781,0.6799964904785156,192000
2012-01-13,56.24665832519531,0.55999755859375,117000
2012-01-17,56.52289962768555,0.6000022888183594,163600
2012-01-18,57.56550598144531,1.0300025939941406,170600
2012-01-19,58.08234405517578,0.4199981689453125,176300
2012-01-20,58.23384094238281,0.410003662109375,144100
2012-01-23,58.403133392333984,0.8300018310546875,135400
2012-01-24,58.54570388793945,0.6199951171875,260300
2012-01-25,58.96455001831055,0.7600021362304688,260200
2012-01-26,58.71503448486328,1.07000732421875,293400
2012-01-27,58.839786529541016,0.6100006103515625,158600
2012-01-30,58.90217208862305,0.8499984741210938,205200
2012-01-31,59.01801681518555,0.779998779296875,183500
2012-02-01,59.71306610107422,0.720001220703125,330000
2012-02-02,59.93585586547852,0.470001220703125,212800
2012-02-03,60.85367202758789,0.6800003051757812,316300
2012-02-06,60.82695770263672,0.4099960327148437,231800
2012-02-07,60.94277572631836,0.6800003051757812,286500
2012-02-08,61.37943649291992,0.589996337890625,189800
2012-02-09,61.94081878662109,0.6699981689453125,184000
2012-02-10,61.40616989135742,0.4799957275390625,159400
2012-02-13,61.833892822265625,0.6399993896484375,226700
2012-02-14,61.90519332885742,0.5800018310546875,202800
2012-02-15,61.60222244262695,1.3199996948242188,421900
2012-02-16,62.63588333129883,1.2300033569335938,148700
2012-02-17,62.55571365356445,0.589996337890625,165600
2012-02-21,62.70719146728516,0.7999954223632812,289500
2012-02-22,62.36858367919922,0.5099945068359375,189100
2012-02-23,62.76063919067383,0.9000015258789062,114900
2012-02-24,63.0368766784668,0.3499984741210937,145700
2012-02-27,63.1259994506836,1.1300048828125,277000
2012-02-28,63.53591537475586,0.55999755859375,209100
2012-02-29,63.13490676879883,1.089996337890625,308300
2012-03-01,63.57154083251953,0.529998779296875,188300
2012-03-02,63.3398666381836,0.6200027465820312,158400
2012-03-05,62.68936538696289,1.0999984741210938,359900
2012-03-06,61.87846755981445,0.5400009155273438,381000
2012-03-07,62.43093490600586,0.4800033569335937,208500
2012-03-08,63.17053985595703,0.7299957275390625,186200
2012-03-09,63.50027847290039,0.5200042724609375,217700
2012-03-12,63.55371856689453,0.4500045776367187,149400
2012-03-13,64.83694458007812,1.0900039672851562,237900
2012-03-14,65.11316680908203,0.7900009155273438,375000
2012-03-15,65.3448486328125,0.5100021362304688,200500
2012-03-16,65.35375213623047,0.4399948120117187,165900
2012-03-19,65.81717681884766,0.8499984741210938,238200
2012-03-20,65.7013168334961,0.6800003051757812,173600
2012-03-21,65.69236755371094,0.4599990844726562,269700
2012-03-22,65.47852325439453,0.4500045776367187,372700
2012-03-23,65.567626953125,0.5999984741210938,172900
2012-03-26,66.66371154785156,0.80999755859375,250300
2012-03-27,66.6280746459961,0.3700027465820312,403000
2012-03-28,66.41419219970703,1.0099945068359375,285200
2012-03-29,66.2894515991211,0.6999969482421875,158900
2012-03-30,66.10230255126953,0.9099960327148438,150800
2012-04-02,66.77955627441406,1.1299972534179688,232600
2012-04-03,66.65478515625,0.8300018310546875,242500
2012-04-04,65.68347930908203,0.9099960327148438,250700
2012-04-05,65.87953186035156,0.6300048828125,144600
2012-04-09,65.39834594726562,0.899993896484375,147100
2012-04-10,64.40919494628906,1.5800018310546875,216900
2012-04-11,64.75675201416016,0.529998779296875,200200
2012-04-12,65.67459106445312,1.0,217500
2012-04-13,64.6765365600586,0.9599990844726562,167400
2012-04-16,64.03494262695312,1.4799957275390625,589100
2012-04-17,65.43399047851562,1.4799957275390625,156800
2012-04-18,64.95277404785156,0.6100006103515625,104900
2012-04-19,64.20425415039062,1.75,148100
2012-04-20,63.79431915283203,1.0499954223632812,168300
2012-04-23,63.232940673828125,0.9199981689453124,533000
2012-04-24,62.83197021484375,0.8899993896484375,395000
2012-04-25,64.73893737792969,0.55999755859375,122300
2012-04-26,65.22901153564453,0.8400039672851562,192900
2012-04-27,65.35375213623047,0.660003662109375,210800
2012-04-30,64.78346252441406,0.660003662109375,178200
2012-05-01,64.95277404785156,1.1999969482421875,142000
2012-05-02,65.05081176757812,0.7600021362304688,275400
2012-05-03,64.23988342285156,1.2600021362304688,230600
2012-05-04,62.88539123535156,1.0499954223632812,315500
2012-05-07,62.64480209350586,0.6500015258789062,272100
2012-05-08,62.36858367919922,1.2399978637695312,299400
2012-05-09,62.3418197631836,1.3899993896484375,172900
2012-05-10,61.85173797607422,0.9800033569335938,196900
2012-05-11,61.80716323852539,1.0500030517578125,108000
2012-05-14,61.21012878417969,0.6299972534179688,166800
2012-05-15,61.02300262451172,1.0500030517578125,216600
2012-05-16,60.50616836547852,1.0999984741210938,201000
2012-05-17,59.40117645263672,1.3899993896484375,287700
2012-05-18,58.59026718139648,2.0800018310546875,249200
2012-05-21,60.27445602416992,1.970001220703125,258700
2012-05-22,60.14971160888672,1.0200042724609375,261000
2012-05-23,60.25663757324219,1.4899978637695312,589000
2012-05-24,59.73088836669922,1.279998779296875,451100
2012-05-25,59.60614013671875,0.4499969482421875,179000
2012-05-29,60.434852600097656,0.8800048828125,137900
2012-05-30,59.90911102294922,0.5699996948242188,170700
2012-05-31,59.48138427734375,0.9899978637695312,207900
